"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Uzbekistan","2017","Total","Both Sexes","73","Estimate - de jure","Final figure, complete","2019","38681","1"
"Uzbekistan","2017","Total","Both Sexes","74","Estimate - de jure","Final figure, complete","2019","49485","1"
"Uzbekistan","2017","Total","Both Sexes","75","Estimate - de jure","Final figure, complete","2019","60616","1"
"Uzbekistan","2017","Total","Both Sexes","75 - 79","Estimate - de jure","Final figure, complete","2019","276508","1"
"Uzbekistan","2017","Total","Both Sexes","76","Estimate - de jure","Final figure, complete","2019","59004","1"
"Uzbekistan","2017","Total","Both Sexes","77","Estimate - de jure","Final figure, complete","2019","57456","1"
"Uzbekistan","2017","Total","Both Sexes","78","Estimate - de jure","Final figure, complete","2019","53953","1"
"Uzbekistan","2017","Total","Both Sexes","79","Estimate - de jure","Final figure, complete","2019","45479","1"
"Uzbekistan","2017","Total","Both Sexes","80","Estimate - de jure","Final figure, complete","2019","40982","1"
"Uzbekistan","2017","Total","Both Sexes","80 - 84","Estimate - de jure","Final figure, complete","2019","145584","1"
"Uzbekistan","2017","Total","Both Sexes","81","Estimate - de jure","Final figure, complete","2019","34505","1"
"Uzbekistan","2017","Total","Both Sexes","82","Estimate - de jure","Final figure, complete","2019","27136","1"
"Uzbekistan","2017","Total","Both Sexes","83","Estimate - de jure","Final figure, complete","2019","21993","1"
"Uzbekistan","2017","Total","Both Sexes","84","Estimate - de jure","Final figure, complete","2019","20968","1"
"Uzbekistan","2017","Total","Both Sexes","85 +","Estimate - de jure","Final figure, complete","2019","132868","1"
"Uzbekistan","2017","Total","Male","Total","Estimate - de jure","Final figure, complete","2019","16259425","1"
"Uzbekistan","2017","Total","Male","0","Estimate - de jure","Final figure, complete","2019","360389","1"
"Uzbekistan","2017","Total","Male","0 - 4","Estimate - de jure","Final figure, complete","2019","1783860","1"
"Uzbekistan","2017","Total","Male","1","Estimate - de jure","Final figure, complete","2019","369418","1"
"Uzbekistan","2017","Total","Male","1 - 4","Estimate - de jure","Final figure, complete","2019","1423471","1"
"Uzbekistan","2017","Total","Male","2","Estimate - de jure","Final figure, complete","2019","367397","1"
"Uzbekistan","2017","Total","Male","3","Estimate - de jure","Final figure, complete","2019","352254","1"
"Uzbekistan","2017","Total","Male","4","Estimate - de jure","Final figure, complete","2019","334402","1"
"Uzbekistan","2017","Total","Male","5","Estimate - de jure","Final figure, complete","2019","324107","1"
"Uzbekistan","2017","Total","Male","5 - 9","Estimate - de jure","Final figure, complete","2019","1631656","1"
"Uzbekistan","2017","Total","Male","6","Estimate - de jure","Final figure, complete","2019","324428","1"
"Uzbekistan","2017","Total","Male","7","Estimate - de jure","Final figure, complete","2019","331394","1"
"Uzbekistan","2017","Total","Male","8","Estimate - de jure","Final figure, complete","2019","332213","1"
"Uzbekistan","2017","Total","Male","9","Estimate - de jure","Final figure, complete","2019","319514","1"
"Uzbekistan","2017","Total","Male","10","Estimate - de jure","Final figure, complete","2019","295295","1"
"Uzbekistan","2017","Total","Male","10 - 14","Estimate - de jure","Final figure, complete","2019","1367045","1"
"Uzbekistan","2017","Total","Male","11","Estimate - de jure","Final figure, complete","2019","275273","1"
"Uzbekistan","2017","Total","Male","12","Estimate - de jure","Final figure, complete","2019","270520","1"
"Uzbekistan","2017","Total","Male","13","Estimate - de jure","Final figure, complete","2019","264110","1"
"Uzbekistan","2017","Total","Male","14","Estimate - de jure","Final figure, complete","2019","261847","1"
"Uzbekistan","2017","Total","Male","15","Estimate - de jure","Final figure, complete","2019","261789","1"
"Uzbekistan","2017","Total","Male","15 - 19","Estimate - de jure","Final figure, complete","2019","1343781","1"
"Uzbekistan","2017","Total","Male","16","Estimate - de jure","Final figure, complete","2019","259202","1"
"Uzbekistan","2017","Total","Male","17","Estimate - de jure","Final figure, complete","2019","265922","1"
"Uzbekistan","2017","Total","Male","18","Estimate - de jure","Final figure, complete","2019","271092","1"
"Uzbekistan","2017","Total","Male","19","Estimate - de jure","Final figure, complete","2019","285776","1"
"Uzbekistan","2017","Total","Male","20","Estimate - de jure","Final figure, complete","2019","306393","1"
"Uzbekistan","2017","Total","Male","20 - 24","Estimate - de jure","Final figure, complete","2019","1602543","1"
"Uzbekistan","2017","Total","Male","21","Estimate - de jure","Final figure, complete","2019","320985","1"
"Uzbekistan","2017","Total","Male","22","Estimate - de jure","Final figure, complete","2019","322286","1"
"Uzbekistan","2017","Total","Male","23","Estimate - de jure","Final figure, complete","2019","321818","1"
"Uzbekistan","2017","Total","Male","24","Estimate - de jure","Final figure, complete","2019","331061","1"
"Uzbekistan","2017","Total","Male","25","Estimate - de jure","Final figure, complete","2019","336713","1"
"Uzbekistan","2017","Total","Male","25 - 29","Estimate - de jure","Final figure, complete","2019","1606691","1"
"Uzbekistan","2017","Total","Male","26","Estimate - de jure","Final figure, complete","2019","330871","1"
"Uzbekistan","2017","Total","Male","27","Estimate - de jure","Final figure, complete","2019","315863","1"
"Uzbekistan","2017","Total","Male","28","Estimate - de jure","Final figure, complete","2019","310445","1"
"Uzbekistan","2017","Total","Male","29","Estimate - de jure","Final figure, complete","2019","312799","1"
"Uzbekistan","2017","Total","Male","30","Estimate - de jure","Final figure, complete","2019","312167","1"
"Uzbekistan","2017","Total","Male","30 - 34","Estimate - de jure","Final figure, complete","2019","1422352","1"
"Uzbekistan","2017","Total","Male","31","Estimate - de jure","Final figure, complete","2019","302705","1"
"Uzbekistan","2017","Total","Male","32","Estimate - de jure","Final figure, complete","2019","286159","1"
"Uzbekistan","2017","Total","Male","33","Estimate - de jure","Final figure, complete","2019","268444","1"
"Uzbekistan","2017","Total","Male","34","Estimate - de jure","Final figure, complete","2019","252877","1"
"Uzbekistan","2017","Total","Male","35","Estimate - de jure","Final figure, complete","2019","244105","1"
"Uzbekistan","2017","Total","Male","35 - 39","Estimate - de jure","Final figure, complete","2019","1136422","1"
"Uzbekistan","2017","Total","Male","36","Estimate - de jure","Final figure, complete","2019","235695","1"
