"Country or Area","Year","Sex","Age","Value","Value Footnotes"
"United States of America","2016","Male","9","2133694","1,2"
"United States of America","2016","Male","10","2116601","1,2"
"United States of America","2016","Male","10 - 14","10518732","1,2"
"United States of America","2016","Male","11","2108491","1,2"
"United States of America","2016","Male","12","2111065","1,2"
"United States of America","2016","Male","13","2095103","1,2"
"United States of America","2016","Male","14","2087472","1,2"
"United States of America","2016","Male","15","2142150","1,2"
"United States of America","2016","Male","15 - 19","10801846","1,2"
"United States of America","2016","Male","16","2181141","1,2"
"United States of America","2016","Male","17","2150416","1,2"
"United States of America","2016","Male","18","2158502","1,2"
"United States of America","2016","Male","19","2169637","1,2"
"United States of America","2016","Male","20","2197366","1,2"
"United States of America","2016","Male","20 - 24","11491065","1,2"
"United States of America","2016","Male","21","2253024","1,2"
"United States of America","2016","Male","22","2302042","1,2"
"United States of America","2016","Male","23","2342323","1,2"
"United States of America","2016","Male","24","2396310","1,2"
"United States of America","2016","Male","25","2425812","1,2"
"United States of America","2016","Male","25 - 29","11631474","1,2"
"United States of America","2016","Male","26","2413760","1,2"
"United States of America","2016","Male","27","2315958","1,2"
"United States of America","2016","Male","28","2258118","1,2"
"United States of America","2016","Male","29","2217826","1,2"
"United States of America","2016","Male","30","2224720","1,2"
"United States of America","2016","Male","30 - 34","10968264","1,2"
"United States of America","2016","Male","31","2233583","1,2"
"United States of America","2016","Male","32","2154190","1,2"
"United States of America","2016","Male","33","2181222","1,2"
"United States of America","2016","Male","34","2174549","1,2"
"United States of America","2016","Male","35","2146976","1,2"
"United States of America","2016","Male","35 - 39","10376442","1,2"
"United States of America","2016","Male","36","2195944","1,2"
"United States of America","2016","Male","37","2048955","1,2"
"United States of America","2016","Male","38","2005894","1,2"
"United States of America","2016","Male","39","1978673","1,2"
"United States of America","2016","Male","40","1921122","1,2"
"United States of America","2016","Male","40 - 44","9776321","1,2"
"United States of America","2016","Male","41","1983028","1,2"
"United States of America","2016","Male","42","1912625","1,2"
"United States of America","2016","Male","43","1934987","1,2"
"United States of America","2016","Male","44","2024559","1,2"
"United States of America","2016","Male","45","2137964","1,2"
"United States of America","2016","Male","45 - 49","10375955","1,2"
"United States of America","2016","Male","46","2172236","1,2"
"United States of America","2016","Male","47","2054342","1,2"
"United States of America","2016","Male","48","2008211","1,2"
"United States of America","2016","Male","49","2003202","1,2"
"United States of America","2016","Male","50","2039838","1,2"
"United States of America","2016","Male","50 - 54","10730184","1,2"
"United States of America","2016","Male","51","2157926","1,2"
"United States of America","2016","Male","52","2186447","1,2"
"United States of America","2016","Male","53","2177713","1,2"
"United States of America","2016","Male","54","2168260","1,2"
"United States of America","2016","Male","55","2186968","1,2"
"United States of America","2016","Male","55 - 59","10683406","1,2"
"United States of America","2016","Male","56","2207097","1,2"
"United States of America","2016","Male","57","2120821","1,2"
"United States of America","2016","Male","58","2100779","1,2"
"United States of America","2016","Male","59","2067741","1,2"
"United States of America","2016","Male","60","1984701","1,2"
"United States of America","2016","Male","60 - 64","9315632","1,2"
"United States of America","2016","Male","61","1961475","1,2"
"United States of America","2016","Male","62","1867184","1,2"
"United States of America","2016","Male","63","1788512","1,2"
"United States of America","2016","Male","64","1713760","1,2"
"United States of America","2016","Male","65","1651159","1,2"
"United States of America","2016","Male","65 - 69","7936919","1,2"
"United States of America","2016","Male","66","1609408","1,2"
"United States of America","2016","Male","67","1553893","1,2"
"United States of America","2016","Male","68","1532242","1,2"
"United States of America","2016","Male","69","1590217","1,2"
"United States of America","2016","Male","70","1161594","1,2"
"United States of America","2016","Male","70 - 74","5454190","1,2"
"United States of America","2016","Male","71","1135596","1,2"
"United States of America","2016","Male","72","1094469","1,2"
"United States of America","2016","Male","73","1108935","1,2"
"United States of America","2016","Male","74","953596","1,2"
"United States of America","2016","Male","75","856476","1,2"
"United States of America","2016","Male","75 - 79","3723619","1,2"
"United States of America","2016","Male","76","799334","1,2"
"United States of America","2016","Male","77","743645","1,2"
"United States of America","2016","Male","78","696383","1,2"
"United States of America","2016","Male","79","627781","1,2"
"United States of America","2016","Male","80","584947","1,2"
"United States of America","2016","Male","80 - 84","2453255","1,2"
"United States of America","2016","Male","81","544044","1,2"
"United States of America","2016","Male","82","474695","1,2"
"United States of America","2016","Male","83","443081","1,2"
"United States of America","2016","Male","84","406488","1,2"
"United States of America","2016","Male","85","370127","1,2"
"United States of America","2016","Male","85 - 89","1463286","1,2"
"United States of America","2016","Male","86","337226","1,2"
"United States of America","2016","Male","87","287917","1,2"
"United States of America","2016","Male","88","252450","1,2"
"United States of America","2016","Male","89","215566","1,2"
"United States of America","2016","Male","90","177508","1,2"
"United States of America","2016","Male","90 - 94","604835","1,2"
"United States of America","2016","Male","91","147286","1,2"
"United States of America","2016","Male","92","117772","1,2"
"United States of America","2016","Male","93","92164","1,2"
"United States of America","2016","Male","94","70105","1,2"
"United States of America","2016","Male","95","52899","1,2"
"United States of America","2016","Male","95 - 99","140380","1,2"
"United States of America","2016","Male","96","36243","1,2"
"United States of America","2016","Male","97","24261","1,2"
"United States of America","2016","Male","98","16661","1,2"
"United States of America","2016","Male","99","10316","1,2"
"United States of America","2016","Male","100 +","16342","1,2"
